source,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,09,08,07,06,05,04,03,02,01,MTD
Distributor,18024,33099,16426,15058,13501,22455,26543,15155,39134,16926,33567,24379,17076,19789,21035,34081,9747,14003,15301,20880,10716,16111,29990,20537,6783
Direct,49292,15388,23941,20078,13681,15888,24233,33744,21574,17117,23013,21725,6683,26282,13876,37892,16552,31272,23100,22631,33130,50213,26489,44016,10271
OS,0,0,33396,0,0,0,65955,0,0,19647,400,22205,0,0,5364,20113,0,0,0,0,0,0,0,0,0
